一	one
娼	harlot
妓	courtesan
娃	fair
姪	niece
嫉	envy
嬬	mistress
姥	aged woman
姑	mother-in-law
姐	young miss
嬉	overjoyed
孕	expecting
孜	assiduous
宥	soothe
寓	imply
宏	extensive
牢	jail
塞	block up
宋	Sung dynasty
宍	venison
屠	butchering
屁	fart
屑	rubbish
尻	buttocks
屡	frequently
屍	corpse
屏	folding screen
嵩	high-reaching
崚	rugged mountains
峨	high mountain
崖	bluffs
嶺	mountaintop
嵌	fit into
嵯	rocky
帖	quire
幡	banner
幟	pennant
庖	cleaver
廓	licensed quarters
庇	overhang
鷹	hawk
庄	shire
廟	tomb sanctuary
彊	strengthen
弥	more and more
弛	loosen
粥	rice gruel
挽	lathe
撞	bump into
扮	disguise
掠	pillage
挨	shove
掴	clutch
捺	impress
捻	wrenching
掻	scratch
撰	assortment
拭	wipe
揃	muster
捌	deal with
撹	churn up
摺	rubbing
按	press down on
捉	nab
拶	imminent
播	disseminate
揖	interpretation
托	receptable
捧	dedicate
撚	twirl
挺	counter for tools
擾	commotion
捗	make headway
撫	petting
撒	sprinkle
擢	outstanding
捷	spoils
抉	gouge out
怯	wince
惟	ponder
惚	infatuation
怜	quickwitted
惇	considerate
憧	yearn
恰	as if
恢	enlarge
悌	respect for elders
湧	bubble up
澪	canal
洸	glistening
滉	bounding main
漱	gargle
洲	continent
洵	swirling waters
滲	seep
洒	rinse
沐	douse
泪	teardrops
渾	gushing
沙	grains of sand
涜	blaspheme
淫	lewd
梁	roofbeam
澱	sediment
氾	widespread
洛	old Kyoto
汝	thou
漉	filter
瀕	on the verge of
濠	moat
溌	spray
溺	drowning
湊	port
淋	solitude
浩	abounding
汀	water's edge
鴻	large goose
潅	souse
溢	brimming
汰	cleanse
湛	inundate
淳	immaculate
潰	defile
渥	moisten
灘	rough seas
汲	draw water
瀞	river pool
溜	cumulation
渕	abyss
沌	chaos
汎	pan
濾	strainer
濡	drench
淀	eddy
涅	fabrication
釜	cauldron
斧	hatchet
爺	grandpa
猾	sly
猥	indecent
狡	cunning
狸	racoon dog
狼	wolf
狽	flustered
狗	pup
狐	fox
狛	a-un
狙	aim at
獅	lion
狒	baboon
莨	tobacco
茉	jasmine
莉	hawthorn
苺	strawberry
萩	bush clover
藝	technique [old]
薙	trim
蓑	straw raincoat
萎	numb
苔	moss
蕩	prodigal
蔽	cover over
蔓	tendril
蓮	lotus
芙	lotus flower
蓉	lotus blossom
蘭	orchid
芦	hollow reed
薯	yam
菖	iris
蕉	banana
芯	wick
蕎	buckwheat
蕗	butterbur
藍	indigo
茄	eggplant
苛	bullying
蔭	behind the scenes
蓬	wormwood
芥	mustard
萌	germinate
葡	grape
萄	grape vine
蘇	resurrect
蕃	grow wild
苓	cocklebur
菰	rush mat
蒙	darken
茅	grassy reed
芭	plantain
苅	mow
蓋	lid
葱	onion
蔑	revile
葵	hollyhock
葺	shingling
蕊	stamen
茸	mushroom
蒔	sowing
芹	parsley
苫	thatching
葛	kudzu
蒼	pale blue
藁	straw
蕪	turnip
藷	sweet potato
薮	quack
蒜	garlic
蕨	bracken
蔚	grow plentiful
茜	madder red
莞	candle rush
蒐	collector
菅	sedge
葦	ditch reed
迪	Way
辿	track down
這	crawl
迂	detour
遁	elude
逢	tryst
遥	far off
遼	remote
逼	pressing
迄	until
遜	modest
逗	standstill
郁	cultured
鄭	courtesy
隙	chink
隈	nook
憑	possessed
惹	attract
悉	without exception
忽	instantaneously
惣	firstborn son
愈	in the nick of time
恕	sensitive
昴	overarching
晋	progress
曖	equivocal
晟	aglow
暈	halo
暉	glitter
旱	dry weather
晏	clear skies
晨	morrow
晒	bleaching
昧	obscure
晃	limpid
曝	air out
曙	dawn
昂	elevate
旺	effulgent
昏	dusk
晦	last day of the month
腎	kidney
股	thigh
膿	pus
腑	viscera
胱	bladder
胚	embryo
肛	anus
臆	cowardice
膝	knee
脆	fragile
肋	rib
肘	elbow
腔	body cavity
腺	gland
腫	tumor
膳	dining tray
肱	armrest
胡	uncivilized
楓	maple tree
枕	pillow
楊	purple willow
椋	Oriental elm
榛	hazel
櫛	comb
槌	wooden hammer
樵	mallet
梯	ladder
椅	chair
柿	persimmon
柑	citrus tree
桁	girder
杭	picket
柊	holly
柚	citron
椀	wooden bowl
栂	hemlock
柾	spindle tree
榊	sacred Shinto tree
樫	evergreen oak
槙	Chinese black pine
楢	Japanese oak
橘	mandarin orange
桧	Japanese cypress
棲	roost
栖	nestle
梗	spiny
桔	bellflower
杜	temple grove
杷	grain rake
梶	oar
杵	wooden pestle
杖	cane
椎	sweet oak
樽	barrel
柵	palisade
櫓	turret
橿	sturdy oak
杓	wooden ladle
李	damson
棉	raw cotton
楯	escutcheon
榎	hackberry
樺	birch
槍	lance
柘	wild mulberry
梱	bale
枇	loquat
樋	downspout
橇	sled
槃	enjoyment
栞	bookmark
椰	coconut tree
檀	sandalwood
樗	plotosid
槻	zelkova
椙	cryptomeria
彬	copious
桶	bucket
楕	ellipse
樒	star-anise
毬	furball
燿	twinkle
燎	watchfire
炬	torch
焚	kindle
灸	moxa
燭	candlelight
煽	fanning
煤	soot
煉	firing
燦	dazzling
灼	refulgent
烙	branding
焔	flames
熔	fuse metal
煎	roast
烹	stew
牽	tug
牝	female animal
牡	male animal
瑶	precious stone
琳	chime
瑠	marine blue
斑	speckled
琉	lapis lazuli
弄	tinker with
瑳	burnish
琢	hone
珊	coral
瑚	coral reef
瑞	fortunate
珪	silicon
玖	jet
瑛	crystal stone
玩	toy
玲	tinkling
畏	apprehensive
畢	lastly
畦	paddy-field ridge
痒	itch
痰	phlegm
疹	measles
痔	hemorrhoids
癌	cancer
痩	lose weight
痕	scar
痺	paralysis
眸	apple of the eye
眩	dizzy
瞭	obvious
眉	eyebrow
雉	pheasant
矩	carpenter's square
磐	crag
碇	grapnel
碧	blue-green
硯	inkstone
砥	grindstone
碗	teacup
碍	obstacle
碩	illustrious
磯	rocky beach
砺	whetstone
碓	mill
禦	fend off
祷	beseech
祐	ancestral tablet
祇	local god
祢	ancestral shrine
禄	salarium
禎	felicitation
秤	balancing scales
黍	millet
禿	bald
稔	bear fruit
稗	crabgrass
穣	bumper crop
稜	imperial authority
稀	sparse
穆	obeisant
窺	peep
窄	tight
窟	cavern
穿	drill
竃	kitchen stove
竪	longness
颯	rustling
站	outpost
靖	repose
妾	concubine
衿	lapel
裾	hem
袷	lined kimono
袴	pleated skirt
襖	sliding door
笙	Chinese panpipe
筏	raft
簾	bamboo blinds
箪	rattan box
竿	pole
箆	spatula
箔	foil
笥	wardrobe
箭	arrow shaft
筑	ancient harp
篭	cage
篠	slender bamboo
箸	chopsticks
纂	redaction
竺	bamboo cane
箕	winnowing fan
笈	backpack
篇	livraison
筈	should
簸	winnow
粕	settlings
糟	lees
糊	paste
籾	unhulled rice
糠	rice bran
糞	excrement
粟	foxtail millet
繋	link up
綸	twine
絨	carpet yarn
絆	ties
緋	scarlet
綜	synthesis
紐	string
紘	chinstrap
纏	summarize
絢	gorgeous
繍	embroidery
紬	pongee
綺	ornate
綾	damask
絃	catgut
綻	come apart at the seams
縞	stripe
綬	gimp
紗	gossamer
舵	rudder
舷	gunwale
聯	strung together
聡	attentive
聘	summons
耽	addiction
耶	exclamation
蚤	flea
蟹	crab
蛋	protein
蟄	hibernation
蝿	housefly
蟻	ant
蜂	bee
蝋	wax
蝦	shrimp
蛸	octopus
螺	screw
蝉	cicada
蛙	frog
蛾	moth
蛤	clam
蛭	leech
蛎	oyster
罫	ruled lines
罵	insult
袈	stole
裟	monk's sash
戴	accept humbly
截	incision
哉	I wonder
詢	counsel
諄	polite
讐	vendetta
諌	remonstrate
謎	riddle
諒	verify
讃	compliment
誰	who?
訊	query
訣	split up
詣	visit a shrine
諦	give up
詮	elucidate
詑	prevarication
誼	familiarity
謬	fallible
詫	beg pardon
諏	advise
諺	proverb
誹	slander
謂	so-called
諜	secret agent
註	footnote
譬	parable
轟	rumble
輔	reinforce
輻	spoke
輯	assemble
貌	countenance
豹	panther
賎	despicable
貼	affix
貰	get
賂	graft
賑	bustling
躓	stumble
蹄	hoof
蹴	kick
蹟	vestiges
跨	straddle
跪	kneel
醤	soy sauce
醍	whey
酎	hooch
醐	ghee
醒	awakening
醇	strong saké
麺	noodles
麹	malt
釦	button
銚	keg
鋤	plow
鍋	pot
鏑	arrowhead
鋸	handsaw
錐	awl
鍵	key
鍬	hoe
鋲	rivet
錫	tin
錨	anchor
釘	nail
鑓	javelin
鋒	sword's point
鎚	hammer
鉦	carillion
錆	rust
鍾	cluster
鋏	scissors
閃	flash
悶	agony
閤	side gate
闇	pitch dark
雫	trickle
霞	haze
翰	quill
斡	auspices
鞍	saddle
鞭	whip
鞘	saddle straps
鞄	briefcase
靭	pliable
鞠	terminate
頓	immediate
顛	overturn
穎	brush tip
頃	about that time
頬	cheek
頗	exceedingly
頌	accolade
顎	chin
頚	neck and throat
餌	feed
餐	repast
饗	feast
蝕	eclipse
飴	sweets
餅	mochi
駕	stretcher
騨	piebald
馳	rush
騙	cheat
馴	tame
駁	rebuttal
駈	gallop
驢	donkey
鰻	eel
鯛	sea bream
鰯	sardine
鱒	trout
鮭	salmon
鮪	tuna
鮎	sweet smelt
鯵	horse mackerel
鱈	cod
鯖	mackerel
鮫	shark
鰹	bonito
鰍	bullhead
鰐	alligator
鮒	crucian
鮨	sushi
鰭	fish fin
鴎	seagull
鵬	roc
鸚	parakeet
鵡	parrot
鵜	cormorant
鷺	heron
鷲	eagle
鴨	wild duck
鳶	kite falcon
梟	owl
塵	dust
麓	foot of a mountain
麒	giraffe
冥	Hades
瞑	close the eyes
暝	murky
坐	sitting in mediation
挫	sprain
朔	first day of the month
遡	go upstream
曳	drag
洩	dribble out
彗	comet
慧	astute
嘉	applaud
兇	evil
兜	helmet
爽	bracing
欝	depressed
劫	kalpa
勃	erection
歎	bemoan
輿	palanquin
巽	southeast
歪	warped
翠	jade green
黛	blue-black
鼎	tripod
鹵	rocksalt
鹸	lye
虔	reserved
燕	swallow
嘗	lick
殆	almost
孟	start
牌	mahjong tiles
骸	remains
覗	peek
彪	mottled
秦	Manchu dynasty
雀	sparrow
隼	peregrine falcon
耀	shimmering
夷	ebisu
戚	relatives
嚢	cyst
丼	domburi
暢	carefree
廻	circling
畿	capital suburbs
欣	elation
毅	stalwart
斯	this
匙	wooden spoon
匡	set straight
肇	founding
麿	Utamaro
叢	conglomerate
肴	entreat
斐	symmetrically patterned
卿	magistrate
翫	fiddle with
於	within
套	hackneyed
叛	rebellion
尖	sharp point
壷	crock
叡	sapience
酋	chieftain
鴬	nightingale
赫	incandescent
臥	supinate
甥	nephew
瓢	gourd
琵	biwa
琶	lute
叉	forked
舜	rose of Sharon
畠	dry field
拳	fist
圃	vegetable patch
丞	helping hand
亮	translucent
胤	blood relative
疏	transcription
膏	ointment
魁	pioneer
馨	ambrosial
牒	label
瞥	glimpse
阜	large hill
睾	testicle
巫	sorceress
敦	empathetic
奎	Andromeda
翔	soar
皓	beaming
黎	tenebrous
赳	bold
已	stop short
棘	thornbush
聚	crowd
甦	resucitate
剪	pruning
躾	upbringing
夥	plentiful
鼾	snore
祟	cast a spell
粁	kilometer
糎	centimeter
粍	millimeter
噸	ton
哩	mile
浬	nautical mile
吋	inch
呎	feet
梵	brahman
陀	Shakyamuni Buddha
薩	bodhisattva
菩	bo tree
唖	babble
迦	Sanskrit ka
那	interrogative
牟	moo
珈	jeweled hairpin
琲	beaded hairpin
檜	Japanese cypress [old]
轡	bridle's bit
淵	abyss [old]
伍	V
什	X
萬	ten thousand [old]
邁	pass through
逞	tough
燈	lamp [old]
裡	back [old]
薗	park [alternate]
鋪	shop [alternate]
嶋	island [alternate]
峯	summit [alternate]
巌	boulder [old]
埜	plains [old]
舘	Bldg. [old]
龍	dragon [old]
寵	patronage
聾	deafness
慾	longing [old]
亙	span [old]
躯	body [old]
嶽	Point [old]
國	country [old]
脛	shin
勁	formidable
箋	stationary
祀	enshrine
祓	exorcism
躇	dither
壽	longevity [old]
躊	hesitate
彙	glossary
饅	bean jam
嘔	retch
鼈	snapping turtle
亨	go smoothly
侑	condone
梧	parasol tree
欽	circumspect
煕	cheer
而	and then
掟	mandate
嗅	sniff
喩	metaphor
訃	obituary
楷	block letters
諧	orderliness
錮	weld
恣	selfish
惧	disquieting
憬	hanker
拉	yank
傲	arrogance
踪	trail
緻	fine
璧	holed gem
摯	clasp
貪	covet
慄	shudder
辣	bitter
瘍	carbuncle
哺	suckle
籠	cage [old]
羞	humiliate
鬱	gloom
